Interesting features of the instances:
p    = number of subgraphs
n    = number of vertices
m    = number of edges
LB   = value of the combinatorial lower bound
BK   = value of the upper bound (best known result obtained in the whole experimental campaign)
ALNS = value obtained by the best parameter tuning of the ALNS algorithm
mTS  = value obtained by the best parameter tuning of the mTS algorithm

Instance        p      n         m     LB      BK    ALNS     mTS
n500plap1i1     6    500      2884    470     497     497     497
n500plap1i2     6    500      2842    465     493     493     493
n500plap1i3     6    500      2854    468     496     496     496
n500plap1i4     6    500      2876    465     493     493     493
n500plap1i5     6    500      2854    468     496     496     496
n500plap2i1    22    500      2884    410     532     532     538
n500plap2i2    22    500      2842    403     531     531     536
n500plap2i3    22    500      2854    413     532     532     539
n500plap2i4    22    500      2876    401     530     530     537
n500plap2i5    22    500      2854    405     540     540     545
n500plap3i1    80    500      2884    268    1051    1469    1276
n500plap3i2    80    500      2842    271    1301    3529    1737
n500plap3i3    80    500      2854    279    1211    2300    1502
n500plap3i4    80    500      2876    259    1211    2496    1547
n500plap3i5    80    500      2854    269    1331    5538    1792
n500d03p1i1     6    500     83166    471     471     472     472
n500d03p1i2     6    500     83166    468     468     470     468
n500d03p1i3     6    500     83166    472     472     472     472
n500d03p1i4     6    500     83166    469     469     469     469
n500d03p1i5     6    500     83166    474     474     476     474
n500d03p2i1    22    500     83166    411     413     413     421
n500d03p2i2    22    500     83166    413     416     416     419
n500d03p2i3    22    500     83166    413     413     413     426
n500d03p2i4    22    500     83166    411     413     413     419
n500d03p2i5    22    500     83166    418     421     421     425
n500d03p3i1    80    500     83166    278     333     340     352
n500d03p3i2    80    500     83166    283     334     343     352
n500d03p3i3    80    500     83166    283     338     349     356
n500d03p3i4    80    500     83166    279     341     355     356
n500d03p3i5    80    500     83166    284     327     339     351
n500d06p1i1     6    500    166334    472     472     472     472
n500d06p1i2     6    500    166334    466     466     467     466
n500d06p1i3     6    500    166334    471     471     472     471
n500d06p1i4     6    500    166334    462     462     463     462
n500d06p1i5     6    500    166334    465     465     466     465
n500d06p2i1    22    500    166334    414     415     416     420
n500d06p2i2    22    500    166334    406     406     406     412
n500d06p2i3    22    500    166334    414     414     414     420
n500d06p2i4    22    500    166334    403     403     403     412
n500d06p2i5    22    500    166334    399     401     401     416
n500d06p3i1    80    500    166334    279     288     292     298
n500d06p3i2    80    500    166334    279     290     290     303
n500d06p3i3    80    500    166334    282     295     297     308
n500d06p3i4    80    500    166334    269     277     277     287
n500d06p3i5    80    500    166334    262     272     272     287
